Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,55.80,56.30,56.80,57.30,57.80,58.30,58.80,59.40,59.90,60.50,61.00,61.60,62.10,62.50,63.00,63.40
American Samoa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,79.20,79.60,79.90,80.20,80.50,80.80,81.00,81.30,81.40,81.50,81.70,81.90,82.00,82.10,82.30,82.40
Bangladesh,65.40,66.00,66.40,66.90,67.30,67.80,68.20,68.60,69.10,69.50,69.90,70.30,70.60,70.90,71.20,71.50
Bhutan,60.90,61.80,62.70,63.60,64.50,65.30,66.00,66.70,67.30,67.90,68.40,68.80,69.30,69.70,70.00,70.40
Brunei Darussalam,72.80,73.10,73.30,73.60,73.80,74.00,74.20,74.40,74.50,74.60,74.70,74.90,75.00,75.10,75.20,75.30
Cambodia,58.40,59.30,60.30,61.20,62.20,63.10,63.90,64.70,65.40,66.00,66.60,67.00,67.50,67.90,68.30,68.60
China,71.40,71.70,72.10,72.40,72.70,73.00,73.30,73.60,73.80,74.10,74.40,74.70,75.00,75.30,75.60,75.90
Fiji,65.70,65.90,66.00,66.20,66.20,66.30,66.40,66.40,66.50,66.60,66.70,66.80,66.90,67.00,67.00,67.10
French Polynesia,72.30,72.70,73.00,73.40,73.80,74.10,74.50,74.80,75.10,75.40,75.60,75.80,76.10,76.30,76.50,76.80
Guam,75.00,75.40,75.70,76.10,76.40,76.70,77.00,77.20,77.50,77.70,77.90,78.20,78.40,78.60,78.90,79.10
"Hong Kong SAR, China",80.90,81.40,81.40,81.40,81.80,81.60,82.40,82.30,82.40,82.80,83.00,83.40,83.50,83.80,84.00,84.30
India,62.50,62.90,63.30,63.70,64.10,64.50,64.90,65.40,65.80,66.20,66.70,67.10,67.50,67.90,68.30,68.60
Indonesia,65.80,66.00,66.30,66.60,67.00,67.30,67.70,68.10,68.50,68.90,69.20,69.50,69.90,70.20,70.50,70.80
Japan,81.10,81.40,81.60,81.80,82.00,81.90,82.30,82.50,82.60,82.90,82.80,82.60,83.10,83.30,83.60,83.80
Kiribati,63.10,63.40,63.70,64.00,64.20,64.50,64.70,65.00,65.20,65.50,65.80,66.10,66.40,66.70,67.00,67.30
"Korea, Dem. People’s Rep.",65.30,66.10,66.90,67.60,68.10,68.40,68.50,68.70,68.90,69.20,69.60,70.00,70.50,70.90,71.20,71.50
"Korea, Rep.",75.90,76.40,76.80,77.20,77.70,78.20,78.70,79.10,79.50,80.00,80.10,80.60,80.80,81.30,81.70,82.00
Lao PDR,58.80,59.40,59.90,60.50,61.10,61.60,62.20,62.70,63.30,63.80,64.30,64.80,65.30,65.70,66.10,66.50
